numberofprocesses,gradenumber,Broadcast time,Broadcast time_std,sample_count,Compute time,Compute time_std,Reduce Time,Reduce Time_std,Total time,Total time_std
2,10,1.7e-05,9.556847457887634e-06,4,1.5e-06,1.0000000000000002e-06,0.00013075,0.00011637403776902591,0.00014975,0.00010973111075108403
2,100,0.000105,9.97897790357309e-05,4,5.275e-05,4.21693016304515e-05,2.575e-05,1.7576025337563288e-05,0.00018175,0.00010234704034150995
2,1000,0.0002365,0.00012864809883295336,4,0.0048655,0.00394188267202361,0.000165,0.00020202145100624012,0.0051695,0.00392885653424335
2,10000,0.0002905,0.00022101357424375546,4,0.29146175,0.01468377422815173,0.00631925,0.0016713494298520178,0.29194,0.01491173258433329
2,100000,0.0009195,0.0007070245163123177,4,29.38148275,1.5940142435363989,1.29556225,0.7358493072037576,29.38558975,1.5973633260704703
12,10,0.017251,0.007909126331860765,4,2e-06,1.1547005383792516e-06,0.01398075,0.004628374327630239,0.031232750000000004,0.007814154822073423
12,100,0.026226,0.018740514916440618,4,2.45e-05,1.5695009822658073e-05,0.0088795,0.004762144509917075,0.035117499999999996,0.014130691950502636
12,1000,0.05502575,0.03368423086425853,4,0.00067225,0.00024483923296726777,0.00184775,0.0006173148170369258,0.057278499999999996,0.03331591540090112
12,10000,0.03820325,0.028835184842769205,4,0.058126750000000005,0.0032078891683888756,0.029434000000000002,0.007185290761920031,0.10728375,0.025048531073032336
12,100000,0.077302,0.02611353382188375,4,5.46110525,0.10108784766190557,1.77380175,0.11709914504776138,5.559176,0.10089674158927693
22,10,0.016371,0.006906279364945112,4,1.4999999999999998e-06,5.773502691896258e-07,0.02335775,0.002679773544536926,0.03972975,0.008937067094410783
22,100,0.042657749999999994,0.023755707417727357,4,1.175e-05,9.17877987534291e-06,0.0098125,0.01121039355538719,0.0524755,0.01623701122949253
22,1000,0.04356625,0.028796841231577237,4,0.000483,0.0002070635973157361,0.10082975,0.14865973300880775,0.14476075,0.17448906632484645
22,10000,0.04228575,0.03656208272126558,4,0.04034825,0.006987023513867211,1.2367270000000001,1.6907697685127525,1.30105975,1.6912722402109752
22,100000,0.37979425,0.6769875187851817,4,3.37893925,0.713289480712833,2.706743,2.6110989917737704,5.16666025,2.511136240244826
32,10,0.01766125,0.008092753481767911,4,2e-06,8.164965809277259e-07,0.10461575000000001,0.0512522330139543,0.12227850000000001,0.05757244753352076
32,100,0.0422955,0.035831753938836614,4,2.125e-05,1.2500000000000002e-05,0.07480674999999999,0.06909830068038335,0.11710575000000001,0.06879538494392871
32,1000,0.05368925,0.03924430282537836,4,0.0004345,0.00017288435441068688,0.439775,0.3234059520303649,0.493719,0.3366522528000271
32,10000,0.02546675,0.005482095668324903,4,0.070683,0.015374899804551574,3.3109925000000002,2.2303302310597415,3.3508955,2.2319470794402063
32,100000,0.045379249999999996,0.03614283105840862,4,4.59167975,2.7119929764685815,6.2876365,4.309485427847931,7.717579499999999,4.316712344637023
42,10,0.014436000000000001,0.00753523315277415,4,9e-06,1.2027745701779143e-05,0.09502574999999999,0.06986233493270891,0.10946575,0.07473496083438237
42,100,0.030199249999999997,0.017480219132398386,4,1.5e-05,6.633249580710799e-06,0.0739745,0.0470006928636873,0.10417599999999999,0.05460991617523934
42,1000,0.0371325,0.03268143265423554,4,0.00035425,0.00011873605181241289,0.32337275,0.2527257472628844,0.36063425,0.2601955111480275
42,10000,0.0357305,0.02999978044919662,4,0.0539665,0.020333012082161695,2.208661,2.5102214396032876,2.255179,2.537133041195646
42,100000,0.0517765,0.042938147968909886,4,4.619499,2.170267604781647,7.91662075,5.974003512466403,9.00162375,6.0108704071008106
52,10,0.01281175,0.0051807426993305365,4,4.75e-06,6.849574196011506e-06,0.11400475,0.0558205970849172,0.12681775,0.05704179258155083
52,100,0.01351975,0.004613381866917154,4,2.6000000000000002e-05,1.6970562748477143e-05,0.07475525,0.06201550059125003,0.08827974999999999,0.059740142279570564
52,1000,0.03400325,0.03906241301963649,4,0.00035175,0.00011386066045829873,0.33315875,0.2152540401639808,0.36726899999999996,0.22257614258645664
52,10000,0.03763025,0.027859453815835416,4,0.045194250000000005,0.014915176015834792,2.46662375,2.577086502532058,2.512944,2.594830267813035
52,100000,0.018524,0.004814903460437533,4,3.933307,1.7706300680313398,6.864291000000001,4.43238052782678,7.70545725,4.42492760567819
