numberofprocesses|gradenumber|Broadcast time|Compute time|Reduce Time|Total time
2|10|0.000009|0.000001|0.000133|0.000143
2|100|0.000089|0.000031|0.000015|0.000134
2|1000|0.000105|0.002867|0.000065|0.003012
2|10000|0.000180|0.286846|0.005495|0.287222
2|100000|0.000558|31.495114|2.278923|31.505300
12|10|0.026829|0.000001|0.014064|0.040894
12|100|0.053549|0.000007|0.001767|0.055321
12|1000|0.087299|0.000547|0.001644|0.089340
12|10000|0.080933|0.055064|0.025676|0.144533
12|100000|0.116044|5.447024|1.727896|5.584020
22|10|0.024020|0.000001|0.027308|0.051329
22|100|0.043916|0.000004|0.017945|0.061865
22|1000|0.022985|0.000392|0.067513|0.090721
22|10000|0.097080|0.038862|1.283518|1.400918
22|100000|1.394306|3.085118|1.613747|5.297639
32|10|0.028003|0.000002|0.148734|0.176738
32|100|0.076009|0.000015|0.013594|0.089605
32|1000|0.097414|0.000259|0.647806|0.745370
32|10000|0.021782|0.071807|5.207914|5.243991
32|100000|0.099586|7.443224|8.872693|10.342920
42|10|0.010506|0.000002|0.149787|0.160294
42|100|0.056010|0.000016|0.100739|0.156752
42|1000|0.021020|0.000397|0.180435|0.201600
42|10000|0.021024|0.050679|0.569052|0.600852
42|100000|0.015362|5.014694|6.286954|7.315171
52|10|0.009705|0.000002|0.133353|0.143060
52|100|0.020354|0.000026|0.022470|0.042830
52|1000|0.011131|0.000320|0.507771|0.519018
52|10000|0.020265|0.049147|0.492203|0.521197
52|100000|0.016552|4.498110|6.324682|7.159908
